year,team,score,shooting,valid_shoot,shoot_PA,dribble1,dribble2,dribble3,pass1,pass2,pass3,keypass,frt_pass,bck_pass,offend_pass1,offend_pass2,offend_pass3,defend_pass1,defend_pass2,defend_pass3,long_pass1,long_pass2,long_pass3,cross1,cross2,cross3,compete_ground1,compete_ground2,compete_ground3,compete_air1,compete_air2,compete_air3,tackle1,tackle2,tackle3,clearing,intercept,foul,yelcard,redcard
2020,강원,36,338,115,175,83,26,0,"16,104","13,588",84.4,213,"6,136","3,499","3,952","2,909",73.6,"3,380","2,805",83,"1,824","1,053",57.7,582,104,17.9,763,367,48.1,975,476,48.8,156,63,40.4,418,362,377,50,0
2019,강원,56,446,221,271,959,551,57.5,"21,724","18,636",85.8,250,"10,873","7,763","9,389","7,737",82.4,"12,335","10,899",88.4,"1,199",745,62.1,464,133,28.7,"5,337","2,685",50.3,"1,483",762,51.4,"1,056",598,56.6,72,"1,747",443,60,1
2018,강원,56,441,219,288,452,265,58.6,"16,019","12,390",77.3,343,"5,838","2,214","9,369","6,130",65.4,"7,299","6,428",88.1,"2,605","1,254",48.1,649,168,25.9,"4,033","2,032",50.4,"1,473",742,50.4,574,364,63.4,957,408,447,55,2
2020,대구,43,381,121,212,105,31,0,"11,761","9,352",79.5,228,"5,378","2,054","2,927","2,005",68.5,"2,663","2,020",75.9,"1,756","1,019",58,628,139,22.1,869,455,52.4,952,514,54,205,89,43.4,418,397,390,50,1
2019,대구,46,508,233,253,916,482,52.6,"16,027","13,154",82.1,228,"8,509","4,645","6,891","5,368",77.9,"9,136","7,786",85.2,"1,070",713,66.6,499,123,24.6,"5,526","2,865",51.8,"1,461",791,54.1,"1,128",678,60.1,87,"1,626",505,65,2
2018,대구,47,528,223,258,508,297,58.5,"13,627","10,241",75.2,432,"5,543","1,695","8,390","5,447",64.9,"5,871","4,954",84.4,"2,259","1,000",44.3,634,160,25.2,"4,122","2,033",49.3,"1,413",671,47.5,585,390,66.7,877,476,484,63,6
2020,상주,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2019,상주,49,371,169,220,810,463,57.2,"17,839","14,842",83.2,193,"9,190","5,652","7,438","5,932",79.8,"10,401","8,910",85.7,"1,179",731,62,388,93,24,"5,203","2,627",50.5,"1,554",765,49.2,889,559,62.9,95,"1,799",428,50,2
2018,상주,41,364,159,205,441,224,50.8,"15,776","12,369",78.4,294,"5,835","2,294","9,834","6,617",67.3,"6,656","5,906",88.7,"2,531","1,144",45.2,714,154,21.6,"3,616","1,773",49,"1,390",693,49.9,457,300,65.6,743,373,445,54,0
2020,서울,23,276,93,129,125,30,0,"13,614","11,024",81,173,"5,536","2,722","3,153","2,246",71.2,"3,151","2,437",77.3,"2,025","1,160",57.3,529,112,21.2,809,411,50.8,"1,122",525,46.8,203,108,53.2,361,439,357,45,1
2019,서울,53,389,184,216,687,373,54.3,"17,804","14,589",81.9,195,"9,087","5,502","8,565","6,753",78.8,"9,239","7,836",84.8,"1,196",770,64.4,467,114,24.4,"5,544","2,718",49,"1,687",805,47.7,"1,166",656,56.3,113,"1,809",467,59,1
2018,서울,40,401,192,265,391,205,52.4,"17,787","14,243",80.1,328,"6,152","2,567","11,197","7,902",70.6,"7,352","6,526",88.8,"2,465","1,206",48.9,762,185,24.3,"3,945","1,829",46.4,"1,554",709,45.6,541,374,69.1,761,349,555,67,3
2020,수원,27,309,101,137,77,20,0,"13,575","10,904",80.3,185,"5,746","2,832","2,947","2,043",69.3,"3,069","2,345",76.4,"1,813",959,52.9,500,95,19,780,407,52.2,"1,098",539,49.1,260,137,52.7,397,431,387,43,1
2019,수원,46,455,221,244,956,517,54.1,"17,888","14,826",82.9,217,"9,269","5,557","8,005","6,381",79.7,"9,883","8,445",85.4,"1,315",860,65.4,428,112,26.2,"6,190","3,116",50.3,"1,732",851,49.1,"1,216",746,61.3,87,"1,783",585,74,2
2018,수원,53,469,216,274,402,237,59,"17,140","13,447",78.5,370,"6,371","2,372","11,413","7,935",69.5,"6,511","5,691",87.4,"2,511","1,250",49.8,784,179,22.8,"4,228","2,222",52.6,"1,598",871,54.5,627,412,65.7,741,371,514,56,3
2020,울산,54,341,131,215,100,27,0,"14,958","12,611",84.3,230,"5,651","3,140","3,474","2,511",72.3,"3,627","3,067",84.6,"1,934","1,181",61.1,672,158,23.5,798,397,49.7,923,501,54.3,179,103,57.5,405,360,367,42,3
2019,울산,71,423,272,264,736,388,52.7,"17,997","15,013",83.4,271,"9,088","5,925","7,688","6,079",79.1,"10,309","8,934",86.7,"1,178",734,62.3,479,133,27.8,"5,164","2,512",48.6,"1,384",672,48.6,"1,063",612,57.6,99,"1,798",503,70,1
2018,울산,61,423,233,276,472,246,52.1,"18,556","14,989",80.8,357,"6,367","2,791","10,520","7,423",70.6,"8,701","7,728",88.8,"2,596","1,307",50.3,665,162,24.4,"3,574","1,765",49.4,"1,272",623,49,553,394,71.2,822,389,432,45,4
2020,인천,25,270,81,143,122,33,0,"11,659","9,125",78.3,154,"5,159","2,407","2,105","1,418",67.4,"3,257","2,393",73.5,"1,929",938,48.6,433,96,22.2,832,422,50.7,"1,158",562,48.5,297,152,51.2,439,407,348,54,3
2019,인천,33,398,186,220,853,454,53.2,"16,099","12,891",80.1,153,"8,094","4,797","6,198","4,668",75.3,"9,901","8,223",83.1,"1,332",797,59.8,424,107,25.2,"5,658","2,839",50.2,"1,748",875,50.1,"1,178",684,58.1,119,"1,828",467,59,1
2018,인천,55,470,248,290,533,296,55.5,"15,667","11,907",76,386,"6,260","2,031","9,000","5,763",64,"7,256","6,300",86.8,"2,493","1,029",41.3,589,156,26.5,"4,174","2,040",48.9,"1,529",776,50.8,574,417,72.6,865,370,514,63,0
2020,전북,46,419,129,244,150,49,0,"14,863","12,283",82.6,245,"6,250","2,894","3,951","2,820",71.4,"2,937","2,419",82.4,"1,921","1,085",56.5,766,185,24.2,878,461,52.5,"1,219",639,52.4,222,126,56.8,353,401,375,35,2
2019,전북,72,525,280,326,845,435,51.5,"19,662","16,485",83.8,272,"10,368","6,117","9,603","7,660",79.8,"10,059","8,825",87.7,"1,304",880,67.5,571,199,34.9,"6,177","3,176",51.4,"1,922","1,046",54.4,"1,183",705,59.6,77,"1,744",588,79,1
2018,전북,75,591,316,395,489,263,53.8,"16,147","12,250",75.9,517,"6,434","2,170","11,761","7,944",67.5,"5,383","4,579",85.1,"2,471","1,110",44.9,997,273,27.4,"4,380","2,244",51.2,"1,597",877,54.9,705,435,61.7,740,489,562,73,4
2020,포항,56,352,127,232,113,43,0,"13,216","10,761",81.4,239,"5,574","2,561","2,993","2,146",71.7,"3,315","2,596",78.3,"1,803","1,025",56.8,630,164,26,924,465,50.3,"1,028",511,49.7,252,110,43.7,368,417,406,59,2
2019,포항,49,383,199,270,888,471,53,"19,017","15,947",83.9,245,"9,702","6,245","7,885","6,356",80.6,"11,132","9,591",86.2,"1,249",806,64.5,470,148,31.5,"5,491","2,724",49.6,"1,519",745,49,"1,075",638,59.3,108,"1,878",465,53,2
2018,포항,48,349,171,258,338,193,57.1,"18,283","14,611",79.9,331,"6,562","2,882","10,829","7,516",69.4,"8,183","7,235",88.4,"2,688","1,347",50.1,729,140,19.2,"3,889","1,931",49.7,"1,543",754,48.9,548,360,65.7,877,393,429,51,1
